Company,GL Level 02,GL Level 03,GL Level 04,GL Level 05,GL Level 06,Income Balance,Posting Date,Budget,Budget Reverse Sign,Budget Variance,Budget Variance Reverse Sign,Amount,Amount Reverse Sign,Amount LY,Amount LY Reverse Sign,Amount Variance,Amount Variance Reverse Sign,Balance,Balance Reverse Sign,Balance LY,Balance LY Reverse,Balance Variance,Balance Variance Reverse Sign,Closing Entry,Quarter
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,,,,,,,,235290,-235290,-235290,235290,11482821,-11482821,5567902,-5567902,5914920,-5914920,Regular Entry,Unknown
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/01/2016 00:00,,,402622,-402622,402622,-402622,,,402622,-402622,402622,-402622,,,402622,-402622,Regular Entry,2016 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/02/2016 00:00,,,163659,-163659,163659,-163659,,,163659,-163659,566281,-566281,,,566281,-566281,Regular Entry,2016 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/03/2016 00:00,,,234109,-234109,234109,-234109,,,234109,-234109,800390,-800390,,,800390,-800390,Regular Entry,2016 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/04/2016 00:00,,,5646,-5646,5646,-5646,,,5646,-5646,806036,-806036,,,806036,-806036,Regular Entry,2016 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/05/2016 00:00,,,-8314,8314,-8314,8314,,,-8314,8314,797722,-797722,,,797722,-797722,Regular Entry,2016 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/06/2016 00:00,,,168049,-168049,168049,-168049,,,168049,-168049,965771,-965771,,,965771,-965771,Regular Entry,2016 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/07/2016 00:00,,,208593,-208593,208593,-208593,,,208593,-208593,1174363,-1174363,,,1174363,-1174363,Regular Entry,2016 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/08/2016 00:00,,,-3147,3147,-3147,3147,,,-3147,3147,1171216,-1171216,,,1171216,-1171216,Regular Entry,2016 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/09/2016 00:00,,,226,-226,226,-226,,,226,-226,1171442,-1171442,,,1171442,-1171442,Regular Entry,2016 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/10/2016 00:00,,,10309,-10309,10309,-10309,,,10309,-10309,1181751,-1181751,,,1181751,-1181751,Regular Entry,2016 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/11/2016 00:00,,,178958,-178958,178958,-178958,,,178958,-178958,1360709,-1360709,,,1360709,-1360709,Regular Entry,2016 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/12/2016 00:00,,,41774,-41774,41774,-41774,,,41774,-41774,1402483,-1402483,,,1402483,-1402483,Regular Entry,2016 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/01/2017 00:00,,,136407,-136407,136407,-136407,402622,-402622,-266215,266215,1538890,-1538890,402622,-402622,1136268,-1136268,Regular Entry,2017 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/02/2017 00:00,,,178338,-178338,178338,-178338,163659,-163659,14679,-14679,1717228,-1717228,566281,-566281,1150947,-1150947,Regular Entry,2017 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/03/2017 00:00,,,67246,-67246,67246,-67246,234109,-234109,-166864,166864,1784474,-1784474,800390,-800390,984084,-984084,Regular Entry,2017 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/04/2017 00:00,,,207223,-207223,207223,-207223,5646,-5646,201578,-201578,1991697,-1991697,806036,-806036,1185661,-1185661,Regular Entry,2017 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/05/2017 00:00,,,-79617,79617,-79617,79617,-8314,8314,-71303,71303,1912080,-1912080,797722,-797722,1114358,-1114358,Regular Entry,2017 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/06/2017 00:00,,,57342,-57342,57342,-57342,168049,-168049,-110708,110708,1969422,-1969422,965771,-965771,1003651,-1003651,Regular Entry,2017 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/07/2017 00:00,,,58846,-58846,58846,-58846,208593,-208593,-149747,149747,2028268,-2028268,1174363,-1174363,853904,-853904,Regular Entry,2017 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/08/2017 00:00,,,137081,-137081,137081,-137081,-3147,3147,140228,-140228,2165348,-2165348,1171216,-1171216,994132,-994132,Regular Entry,2017 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/09/2017 00:00,,,-41865,41865,-41865,41865,226,-226,-42090,42090,2123484,-2123484,1171442,-1171442,952042,-952042,Regular Entry,2017 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/10/2017 00:00,,,-13111,13111,-13111,13111,10309,-10309,-23420,23420,2110372,-2110372,1181751,-1181751,928621,-928621,Regular Entry,2017 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/11/2017 00:00,,,171688,-171688,171688,-171688,178958,-178958,-7270,7270,2282061,-2282061,1360709,-1360709,921351,-921351,Regular Entry,2017 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/12/2017 00:00,,,64246,-64246,64246,-64246,41774,-41774,22472,-22472,2346307,-2346307,1402483,-1402483,943823,-943823,Regular Entry,2017 Q4
